,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,NorthDakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
65%,48000,59487,47601,43000,53000,52010,60151,51000,75378,48250,50001,50000,45015,54300,48478,49009,48002,47008,48592,46615,60006,62403,50166,55000,40020,50010,47200,49600,45017,57050,60694,43200,57709,46721,50058,48600,46070,48153,53003,54000,45245,49071,48000,50042,50000,51037,56529,58053,45085,48048,52016
66%,49577,60049,49800,45000,55000,52500,61401,52000,78144,50000,50162,50010,45743,55010,50000,50000,50000,48000,49442,48001,60521,65000,51040,55155,41000,50050,48600,50003,46730,58118,62548,45000,60000,48036,50772,50000,48000,50000,54360,55057,46100,50000,50000,51000,50010,52080,58100,60000,46096,49298,53168
67%,50003,61301,50005,45006,55750,55000,62842,53000,80016,50000,51790,50162,46701,56000,50001,50022,50002,49799,50000,49569,63000,65131,52004,56140,42007,51350,50000,50121,48002,60001,64478,45002,60000,49849,52161,50003,49451,51000,55025,56412,47426,50050,50000,52402,50450,53908,59794,60005,47005,50002,54724
68%,50100,62207,50343,46000,58000,55172,65000,53802,80808,50016,53025,52000,48133,58246,50024,51250,50061,50000,50034,50014,65010,67162,53000,58000,43000,52599,50005,51002,50000,60118,65020,45202,60100,50011,53560,50165,50012,52065,56173,59319,49000,50721,50044,54693,52130,55000,60015,60202,48015,50100,55052
69%,51065,63501,51460,48000,60000,57000,66018,55000,83671,50375,55000,52360,50000,60000,50655,53000,51300,50121,50579,50100,65894,69948,54522,60000,45000,54034,51006,52000,50000,61769,65800,46408,62073,50268,55002,51250,50250,54055,58001,60002,50000,52019,51442,55127,53200,56500,61012,61269,50000,51134,56003
70%,51894,64380,52050,48760,60040,59040,68000,56000,86156,52000,55129,55000,50011,60060,52000,54182,52458,51002,52000,51616,68005,70100,55100,60029,45012,55105,52190,52670,50242,63002,66939,48000,64987,52000,55127,52500,51750,55150,60000,60029,50016,53100,52012,57200,55000,57100,63310,63303,50016,52340,57700
71%,52050,66022,54106,50000,62008,60034,70000,58010,89701,53000,57220,55800,50439,62140,52515,55068,55000,52000,53024,52029,70007,71442,57230,60506,46198,56849,53020,54364,52001,65003,69920,50000,65677,53577,56003,54400,52850,57002,60210,60320,50300,54800,54231,59003,55550,58931,65000,65002,51072,53456,58325
72%,53200,67080,55048,50006,64932,61132,70067,60000,91245,54904,60000,58172,51777,65000,54001,57950,56003,53001,55000,53000,71217,73034,58710,62417,48000,58969,54543,55040,53051,65942,70128,50018,67685,55000,57653,55300,54576,59503,62000,62502,52000,56202,55719,60000,58473,60010,65955,66077,52001,55000,60000
73%,55016,69060,56160,50645,65500,62653,72165,60020,92960,55100,60005,60000,53000,65602,55001,59021,58370,53300,55087,55000,73151,75004,60000,65000,49014,60000,55084,56010,55000,68087,72640,50700,70000,56100,59000,57845,56000,60059,63060,65000,52400,58630,58000,60072,60000,60688,69189,68609,53016,55030,61000
74%,55900,71112,58007,52883,69050,64411,75000,60900,95210,57130,60210,60173,54265,68081,55537,60015,60003,56000,57020,56059,75010,75441,60100,67601,50000,60069,57225,58003,56000,69191,75000,52000,70116,58204,60000,59759,58003,60751,64526,66089,54830,60010,60000,62070,60070,62440,70246,70013,54392,56034,63038
75%,58376,73005,60000,54424,70097,65260,75168,62100,97200,59622,62040,62000,55288,70003,57600,61010,61000,58050,59498,58000,76051,77137,61702,69015,50013,62004,60000,60000,57754,70325,75550,53000,72144,60000,60102,60204,59065,62772,65023,68451,55293,62333,60081,64854,61502,64100,73025,71558,55031,58209,64219
76%,60000,75000,60005,55400,72268,67000,78000,63370,99530,60006,63106,65000,56589,70700,60000,62546,62359,60000,60002,58894,79320,80002,63081,70162,51178,64005,60030,60100,58392,72140,78000,54010,75008,60169,62010,62000,60007,65001,66921,70017,57351,65000,61323,65200,63163,65005,75015,74080,56707,60000,65017
