state,year,quartile,gender,life_expectancy
ak,2009,1,male,77.7425
ak,2010,1,male,79.01091
ak,2011,1,male,75.367607
ak,2012,1,male,76.203842
ak,2013,1,male,75.555122
ak,2014,1,male,78.042053
az,2001,1,male,77.834549
az,2002,1,male,78.566399
az,2003,1,male,78.728973
az,2004,1,male,78.375801
az,2005,1,male,77.682854
az,2006,1,male,77.980286
az,2007,1,male,78.820366
az,2008,1,male,77.484001
az,2009,1,male,76.753166
az,2010,1,male,78.095139
az,2011,1,male,79.385231
az,2012,1,male,77.55703
az,2013,1,male,77.780731
az,2014,1,male,78.82534
ar,2001,1,male,73.291367
ar,2002,1,male,74.177841
ar,2003,1,male,74.651268
ar,2004,1,male,75.981987
ar,2005,1,male,75.00206
ar,2006,1,male,75.593628
ar,2007,1,male,76.420998
ar,2008,1,male,74.891861
ar,2009,1,male,74.845993
ar,2010,1,male,76.442184
ar,2011,1,male,74.772133
ar,2012,1,male,74.753983
ar,2013,1,male,74.662285
ar,2014,1,male,76.110413
ca,2001,1,male,79.302994
ca,2002,1,male,79.353279
ca,2003,1,male,79.659332
ca,2004,1,male,80.23217
ca,2005,1,male,79.804756
ca,2006,1,male,79.905952
ca,2007,1,male,80.454247
ca,2008,1,male,79.742165
ca,2009,1,male,79.61013
ca,2010,1,male,80.332428
ca,2011,1,male,80.158035
ca,2012,1,male,79.903053
ca,2013,1,male,80.759644
ca,2014,1,male,81.285873
co,2001,1,male,79.222145
co,2002,1,male,78.459
co,2003,1,male,78.516037
co,2004,1,male,78.359756
co,2005,1,male,79.21981
co,2006,1,male,79.605927
co,2007,1,male,78.005081
co,2008,1,male,78.705963
co,2009,1,male,78.206757
co,2010,1,male,78.627998
co,2011,1,male,77.386154
co,2012,1,male,79.334152
co,2013,1,male,79.917671
co,2014,1,male,79.101662
ct,2001,1,male,77.148544
ct,2002,1,male,77.608551
ct,2003,1,male,75.615677
ct,2004,1,male,76.83268
ct,2005,1,male,75.673012
ct,2006,1,male,76.853058
ct,2007,1,male,78.10685
ct,2008,1,male,76.864166
ct,2009,1,male,77.310555
ct,2010,1,male,76.718468
ct,2011,1,male,77.31662
ct,2012,1,male,78.450577
ct,2013,1,male,76.991837
ct,2014,1,male,78.785828
de,2001,1,male,71.846306
de,2002,1,male,73.857445
de,2003,1,male,73.614113
de,2004,1,male,75.679398
de,2005,1,male,75.964401
de,2006,1,male,73.807793
de,2007,1,male,74.420891
de,2008,1,male,75.615997
de,2009,1,male,75.022675
de,2010,1,male,75.466995
de,2011,1,male,75.725662
de,2012,1,male,74.585098
de,2013,1,male,73.276299
de,2014,1,male,75.166504
dc,2001,1,male,71.788651
dc,2002,1,male,75.294273
dc,2003,1,male,74.717453
dc,2004,1,male,75.661285
dc,2005,1,male,73.674194
dc,2006,1,male,73.087669
dc,2007,1,male,75.617867
dc,2008,1,male,73.732727
dc,2009,1,male,74.12468
dc,2010,1,male,74.663155
dc,2011,1,male,74.088249
dc,2012,1,male,74.528313
dc,2013,1,male,76.097412
dc,2014,1,male,76.570793
fl,2001,1,male,78.702965
fl,2002,1,male,76.861588
fl,2003,1,male,77.076202
fl,2004,1,male,77.602203
fl,2005,1,male,77.137016
fl,2006,1,male,76.894089
fl,2007,1,male,77.441277
fl,2008,1,male,77.235756
fl,2009,1,male,76.472176
fl,2010,1,male,76.528091
fl,2011,1,male,77.171135
fl,2012,1,male,76.31778
fl,2013,1,male,76.21225
fl,2014,1,male,77.942284
ga,2001,1,male,73.360863
ga,2002,1,male,73.678421
ga,2003,1,male,74.328392
ga,2004,1,male,73.784325
ga,2005,1,male,74.436279
ga,2006,1,male,75.714966
ga,2007,1,male,76.263718
ga,2008,1,male,75.878036
ga,2009,1,male,75.369308
ga,2010,1,male,74.926353
ga,2011,1,male,74.841499
ga,2012,1,male,74.553581
ga,2013,1,male,74.053757
ga,2014,1,male,75.265968
hi,2001,1,male,78.900002
hi,2002,1,male,76.026474
hi,2003,1,male,78.74395
hi,2004,1,male,78.026321
hi,2005,1,male,79.471222
hi,2006,1,male,76.467155
hi,2007,1,male,79.984383
hi,2008,1,male,79.895645
hi,2009,1,male,79.392105
hi,2010,1,male,81.446335
hi,2011,1,male,78.247261
hi,2012,1,male,80.575462
hi,2013,1,male,80.449516
hi,2014,1,male,78.324402
id,2001,1,male,76.000923
id,2002,1,male,79.360168
id,2003,1,male,79.462936
id,2004,1,male,78.611557
id,2005,1,male,78.495064
id,2006,1,male,79.384216
id,2007,1,male,79.220398
id,2008,1,male,80.757835
id,2009,1,male,75.879578
id,2010,1,male,79.19603
id,2011,1,male,78.80957
id,2012,1,male,78.773827
id,2013,1,male,76.137009
id,2014,1,male,78.832138
il,2001,1,male,75.602654
il,2002,1,male,74.957344
il,2003,1,male,75.33931
il,2004,1,male,75.827545
il,2005,1,male,75.611366
il,2006,1,male,75.855637
il,2007,1,male,76.853729
il,2008,1,male,76.270844
il,2009,1,male,75.821518
il,2010,1,male,77.176796
il,2011,1,male,76.984604
il,2012,1,male,76.435059
il,2013,1,male,76.167351
il,2014,1,male,77.039978
in,2001,1,male,73.324135
in,2002,1,male,73.04248
in,2003,1,male,72.796417
in,2004,1,male,74.047653
in,2005,1,male,73.712982
in,2006,1,male,74.037865
